'http://www.fantalatinamerica.com/es/ar/equipo/', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/es/ar/historia/', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/es/ar/home/', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/es/ar/politicas-de-privacidad/', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/es/ar/productos/fanta-zero/', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/es/ar/productos/fanta/', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/es/ar/social/', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/es/ar/terminos-y-condiciones/', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/es/ar/video/', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/es/bo/equipo/', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/es/bo/historia/', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/es/bo/home/', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/es/bo/politicas-de-privacidad/', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/es/bo/productos/fanta-zero/', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/es/bo/productos/fanta/', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/es/bo/social/', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/es/bo/terminos-y-condiciones/', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/es/bo/videos/', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/es/cl/equipo/', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/es/cl/historia/', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/es/cl/home/', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/es/cl/politicas-de-privacidad/', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/es/cl/productos/fanta-zero/', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/es/cl/productos/fanta/', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/es/cl/social/', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/es/cl/terminos-y-condiciones/', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/es/cl/videos/', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/es/home/', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/es/pe/equipo/', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/es/pe/historia/', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/es/pe/home/', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/es/pe/politicas-de-privacidad/', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/es/pe/social/', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/es/pe/terminos-y-condiciones/', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/es/pe/videos/', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/es/py/historia/', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/es/py/home/', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/es/py/politicas-de-privacidad/', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/es/py/productos/', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/es/py/social/', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/es/py/terminos-y-condiciones/', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/es/uy/historia/', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/es/uy/home/', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/es/uy/politicas-de-privacidad/', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/es/uy/productos/fanta-pomelo/', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/es/uy/productos/fanta-zero/', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/es/uy/productos/fanta/', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/es/uy/social/', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/es/uy/terminos-y-condiciones/', 'http://www.fantalatinamerica.com/es/home/', 'true'
'http://www.fantalatinamerica.com/content', 'http://www.fantalatinamerica.com/es/home/', 'false'
